City,Area_Code,Population,Unemployment_Rate,Police_Stations,Time,Victim_Age,Victim_Gender,Weapon_Used,Past_Crime_Rate,Crime_Occurred
Bhopal,5,184277,4.33,8,Afternoon,28,Female,Rod,18,0
Lucknow,20,161756,14.78,8,Night,16,Female,Rod,66,1
Mumbai,23,198983,15.71,4,Night,27,Female,None,88,1
Chennai,11,121573,9.71,1,Evening,66,Female,Rod,39,0
Hyderabad,37,23092,14.53,2,Morning,57,Male,Gun,59,1
Jaipur,22,105918,4.32,4,Night,39,Male,None,49,0
Kolkata,4,180842,9.87,10,Morning,52,Female,Gun,25,0
Delhi,29,35457,8.3,2,Night,35,Male,Gun,57,1
Chennai,44,81667,11.78,11,Morning,21,Male,None,58,0
Mumbai,34,100751,2.71,10,Afternoon,27,Male,None,90,0
Jaipur,13,72894,14.03,3,Morning,36,Male,Knife,47,1
Chennai,42,71305,3.27,9,Evening,18,Female,Gun,10,0
Mumbai,9,153684,12.5,9,Night,42,Female,Knife,59,1
Bangalore,42,178161,2.3,11,Evening,61,Male,Rod,48,0
Bangalore,31,62137,15.31,9,Night,68,Female,Rod,72,1
Bhopal,7,10559,4.8,7,Evening,51,Male,Knife,8,0
Chennai,4,76249,10.25,4,Night,32,Female,None,67,1
Bangalore,19,47361,6.18,1,Morning,64,Female,Rod,62,0
Mumbai,42,90720,13.56,3,Night,61,Female,None,58,1
Bhopal,30,25261,7.14,8,Evening,30,Female,Knife,85,1
Mumbai,31,30372,13.59,4,Evening,54,Female,None,42,0
Bhopal,35,65355,6.56,10,Night,19,Female,Gun,64,1
Chennai,21,108560,14.04,10,Night,32,Female,Rod,56,1
Jaipur,31,198992,2.49,2,Afternoon,53,Male,None,33,0
Hyderabad,19,173616,6.53,8,Afternoon,26,Female,None,44,0
Patna,31,10037,9.98,7,Morning,27,Male,Gun,75,1
Jaipur,32,184104,2.72,11,Morning,62,Female,None,12,0
Lucknow,2,51420,4.98,10,Morning,47,Female,Knife,39,0
Mumbai,10,107243,16.95,9,Morning,42,Female,Knife,86,1
Lucknow,2,139380,17.63,2,Morning,59,Male,Knife,20,0
Jaipur,2,44600,13.84,5,Night,58,Male,Rod,22,0
Bhopal,24,189357,6.04,6,Afternoon,42,Male,None,63,0
Patna,17,99520,6.17,2,Night,64,Male,Rod,93,1
Patna,32,15167,12.33,2,Afternoon,55,Male,Rod,38,0
Delhi,16,10432,3.88,10,Afternoon,59,Female,None,8,0
Patna,16,79687,17.17,4,Evening,44,Male,None,73,1
Hyderabad,46,81947,5.6,8,Evening,24,Male,Knife,82,1
Patna,39,106324,17.99,11,Afternoon,58,Male,Rod,69,1
Jaipur,31,60903,9.93,5,Night,18,Female,Rod,65,1
Delhi,43,195221,14.34,9,Afternoon,54,Female,None,90,1
Jaipur,24,197840,2.03,4,Morning,44,Female,Rod,50,0
Jaipur,1,75792,16.22,3,Night,36,Male,Gun,25,1
Kolkata,11,43439,6.32,10,Night,50,Female,None,81,0
Delhi,21,174329,12.69,8,Afternoon,68,Male,Knife,42,0
Jaipur,4,185746,14.9,1,Morning,63,Female,Gun,77,1
Kolkata,7,61248,4.63,9,Afternoon,25,Female,Gun,90,1
Kolkata,26,186443,9.08,4,Morning,38,Female,Knife,85,1
Delhi,47,178369,9.9,11,Night,54,Female,Gun,64,1
Lucknow,12,195345,6.99,9,Afternoon,40,Female,Gun,91,1
Bhopal,31,44743,9.71,8,Morning,39,Male,Gun,40,0
Hyderabad,17,89803,7.08,3,Evening,35,Male,Rod,10,0
Bhopal,33,85117,7.77,3,Night,30,Female,Gun,43,1
Patna,11,32076,12.71,9,Night,36,Male,Gun,33,1
Hyderabad,28,97483,12.12,3,Evening,68,Female,None,31,0
Patna,32,144035,5.72,4,Morning,57,Female,Knife,73,1
Jaipur,1,129217,16.36,9,Night,27,Female,Rod,13,0
Mumbai,47,154938,15.8,4,Morning,33,Female,Rod,28,0
Delhi,28,114504,10.15,11,Evening,38,Female,Knife,67,1
Hyderabad,42,173377,8.93,3,Afternoon,56,Female,Rod,23,0
Hyderabad,7,115649,8.03,7,Night,44,Female,Rod,34,0
Jaipur,2,136244,13.32,6,Night,56,Male,Rod,62,1
Lucknow,42,42813,12.75,1,Morning,51,Male,None,44,0
Kolkata,24,76729,5.14,10,Night,20,Female,None,72,0
Jaipur,4,14512,12.74,8,Afternoon,54,Male,Rod,36,0
Bangalore,44,163738,6.04,1,Evening,41,Female,Knife,69,1
Kolkata,19,157702,2.3,4,Night,54,Male,Knife,38,0
Delhi,26,127907,13.19,6,Evening,26,Male,None,89,1
Kolkata,11,141708,12.32,6,Morning,57,Female,None,35,0
Lucknow,40,144847,8.57,7,Afternoon,26,Female,Gun,63,1
Kolkata,43,74591,10.41,11,Night,33,Male,None,82,1
Delhi,11,21351,17.15,5,Evening,27,Female,Rod,30,0
Lucknow,45,125400,11.52,5,Afternoon,31,Male,None,26,0
Bhopal,3,130533,12.53,4,Evening,42,Female,Gun,38,1
Hyderabad,12,113627,3.02,6,Morning,51,Male,Gun,17,0
Hyderabad,3,196256,4.66,7,Afternoon,32,Male,Knife,59,0
Patna,42,138381,6.82,10,Afternoon,64,Male,Knife,12,0
Bhopal,27,105707,10.63,10,Morning,36,Female,Rod,66,0
Bhopal,49,91678,14.43,1,Morning,52,Male,None,26,0
Kolkata,2,83309,7.14,9,Night,46,Female,Gun,60,1
Hyderabad,49,20778,7.7,8,Morning,60,Female,Gun,88,1
Delhi,16,153573,6.1,7,Morning,50,Female,Knife,25,0
Chennai,2,122713,6.07,9,Evening,42,Female,Knife,53,0
Chennai,30,143180,17.18,3,Afternoon,38,Female,None,10,0
Lucknow,20,46382,12.17,10,Evening,47,Male,Gun,39,1
Hyderabad,38,85787,4.49,4,Morning,32,Female,Knife,31,0
Hyderabad,28,33341,13.56,7,Night,26,Female,None,88,1
Chennai,25,155439,13.55,6,Evening,16,Male,None,44,0
Hyderabad,32,129967,12.66,2,Evening,43,Male,None,18,0
Kolkata,10,141066,4.16,2,Afternoon,33,Female,Knife,78,1
Bangalore,42,153074,8.53,10,Afternoon,64,Female,Knife,56,0
Mumbai,40,95820,3.71,7,Afternoon,56,Female,Knife,83,1
Bhopal,33,69949,15.07,9,Night,35,Male,Rod,44,0
Patna,13,156772,12.48,11,Night,22,Female,Rod,47,0
Lucknow,41,72543,10.12,9,Morning,52,Female,Rod,62,0
Bangalore,42,170390,7.49,7,Morning,31,Male,Knife,7,0
Chennai,47,37610,4.95,11,Afternoon,54,Male,Knife,19,0
Bhopal,37,75226,3.7,8,Evening,60,Male,Rod,49,0
Hyderabad,16,55167,17.51,10,Afternoon,60,Female,Gun,15,0
Patna,45,169011,5.19,3,Morning,62,Female,Gun,43,0
Hyderabad,22,77381,2.96,1,Evening,38,Female,Gun,23,0
Delhi,20,56710,17.39,7,Morning,47,Male,Gun,83,1
Delhi,43,26766,10.78,8,Night,64,Male,Rod,24,0
Patna,27,112416,14.75,2,Afternoon,32,Female,None,90,1
Patna,41,22780,2.7,9,Afternoon,34,Male,None,75,0
Chennai,16,58458,11.07,4,Evening,57,Male,Gun,60,1
Patna,34,66221,8.37,10,Afternoon,49,Male,Knife,82,1
Kolkata,32,11509,14.35,11,Morning,29,Male,Gun,8,0
Hyderabad,26,99493,2.61,9,Morning,18,Female,Gun,13,0
Bangalore,25,175418,8.43,3,Night,54,Female,None,29,0
Jaipur,2,126850,14.79,8,Morning,40,Male,Knife,51,1
Patna,12,187946,10.36,11,Evening,26,Male,None,53,0
Lucknow,40,167220,10.8,2,Morning,64,Male,Knife,31,0
Delhi,9,41533,3.55,3,Night,30,Male,Rod,32,0
Kolkata,12,118144,4.12,1,Night,34,Male,None,92,1
Bhopal,26,132402,12.83,5,Afternoon,58,Female,Rod,66,1
Jaipur,9,88467,12.8,4,Evening,30,Male,Rod,20,0
Bangalore,10,11359,17.67,1,Morning,30,Female,Gun,91,1
Jaipur,32,129119,13.39,10,Night,53,Female,Knife,50,1
Patna,34,30344,9.89,9,Morning,30,Male,None,79,0
Chennai,48,128499,15.72,6,Night,24,Female,Gun,50,1
Delhi,20,79778,3.67,6,Afternoon,20,Male,None,44,0
Delhi,39,30601,9.19,11,Night,34,Male,Rod,87,1
Bhopal,2,160188,6.59,2,Afternoon,39,Male,None,38,0
Chennai,1,198057,3.67,7,Evening,44,Female,None,91,1
Hyderabad,36,111013,14.22,9,Morning,20,Female,Gun,14,0
Mumbai,24,40782,10.17,6,Morning,37,Female,Knife,5,0
Kolkata,27,121095,10.91,11,Afternoon,28,Male,None,70,0
Delhi,2,190891,8.58,8,Evening,65,Female,Rod,90,1
Lucknow,31,107123,9.37,5,Afternoon,67,Female,Rod,21,0
Delhi,14,54458,3.86,2,Night,64,Female,Gun,51,1
Jaipur,2,134225,12.77,4,Afternoon,62,Male,Rod,28,0
Delhi,29,149152,8.92,1,Evening,61,Female,None,54,0
Delhi,15,175029,15.07,1,Night,44,Male,Knife,89,1
Mumbai,12,154980,5.14,6,Morning,31,Female,None,33,0
Mumbai,37,106188,5.28,2,Morning,51,Female,Gun,82,1
Bangalore,28,131292,12.33,6,Morning,32,Female,Rod,76,1
Hyderabad,20,100570,15.54,1,Evening,35,Male,None,90,1
Lucknow,39,133791,9.56,11,Evening,29,Male,None,91,1
Delhi,24,188554,13.63,10,Evening,65,Female,Rod,17,0
Delhi,21,135291,17.99,3,Evening,21,Female,Knife,68,1
Kolkata,10,108375,17.84,9,Evening,37,Male,Knife,32,1
Mumbai,46,48314,13.91,2,Night,55,Male,Knife,9,0
Lucknow,14,118880,13.83,8,Afternoon,24,Female,Rod,78,1
Bhopal,37,110326,5.96,6,Morning,47,Female,None,13,0
Bangalore,18,156903,15.34,6,Evening,39,Male,Gun,18,1
Hyderabad,24,131026,8.48,7,Morning,48,Female,None,14,0
Chennai,14,161197,17.39,5,Evening,28,Male,Rod,37,1
Hyderabad,34,72451,3.3,11,Morning,50,Female,Rod,79,0
Jaipur,12,55708,8.97,4,Afternoon,21,Female,None,44,0
Delhi,22,27682,10.89,6,Morning,64,Female,Rod,10,0
Bangalore,6,112406,8.48,8,Morning,55,Female,None,21,0
Jaipur,36,176866,5.37,4,Evening,45,Male,None,40,0
Lucknow,45,69372,11.49,5,Night,53,Female,Knife,74,1
Chennai,36,49477,14.09,7,Night,31,Female,Rod,65,1
Mumbai,22,194935,12.32,6,Morning,16,Female,Rod,78,1
Bangalore,14,179809,5.75,4,Night,57,Female,Knife,53,0
Bangalore,16,143692,13.71,4,Afternoon,33,Female,Knife,73,1
Delhi,36,176129,6.11,10,Afternoon,37,Female,Knife,87,1
Patna,25,181210,4.8,4,Night,41,Male,Gun,75,1
Bangalore,32,63024,13.05,1,Night,29,Female,Rod,28,0
Kolkata,33,150749,15.48,5,Afternoon,52,Male,None,55,1
Chennai,45,185183,9.7,8,Night,64,Male,None,46,0
Chennai,36,165146,10.5,7,Night,29,Male,None,23,0
Kolkata,20,27824,6.84,5,Evening,41,Male,Rod,66,0
Bhopal,18,141837,9.91,3,Evening,65,Female,Gun,79,1
Kolkata,38,186511,4.11,11,Night,51,Female,Rod,71,0
Kolkata,3,107151,17.29,1,Night,67,Female,Rod,34,1
Chennai,23,58926,14.81,7,Evening,38,Male,Rod,42,0
Hyderabad,32,177932,12.69,11,Evening,17,Female,Rod,10,0
Chennai,45,22975,10.61,3,Night,54,Male,Rod,26,0
Patna,16,84877,14.67,4,Evening,22,Male,Gun,15,1
Delhi,5,87870,9.92,5,Afternoon,54,Female,Knife,76,1
Jaipur,4,91371,6.8,8,Morning,60,Male,None,33,0
Hyderabad,21,167620,4.57,7,Afternoon,66,Male,Rod,12,0
Mumbai,40,110970,12.36,9,Evening,37,Male,Rod,91,1
Jaipur,14,108066,16.87,11,Afternoon,43,Male,Rod,84,1
Delhi,39,179808,4.46,3,Morning,53,Female,None,39,0
Patna,31,71562,4.88,11,Evening,35,Male,Gun,76,1
Patna,14,50409,8.94,10,Afternoon,64,Male,None,76,0
Mumbai,6,19834,14.91,1,Afternoon,33,Male,Gun,49,1
Hyderabad,12,112192,6.7,1,Morning,39,Female,Knife,37,0
Bhopal,16,10840,6.06,10,Evening,48,Female,Rod,9,0
Kolkata,17,41568,11.92,1,Night,60,Male,Gun,66,1
Hyderabad,45,20846,10.57,2,Evening,41,Female,None,41,0
Bhopal,23,146971,2.96,2,Morning,34,Female,Gun,21,0
Patna,14,96038,3.3,7,Morning,63,Female,Gun,26,0
Chennai,7,179845,12.29,9,Morning,57,Female,Knife,82,1
Delhi,46,139789,9.44,8,Morning,28,Male,Rod,36,0
Mumbai,32,117460,17.54,4,Night,25,Male,Rod,18,0
Delhi,15,84723,12.86,2,Evening,29,Female,None,24,0
Lucknow,44,114194,2.16,3,Evening,24,Female,None,26,0
Lucknow,17,121417,9.7,10,Afternoon,68,Female,Knife,34,0
Hyderabad,41,145383,8.63,5,Night,26,Female,Gun,58,1
Patna,47,66888,3.71,9,Night,18,Female,Gun,37,0
Patna,44,51616,16.77,8,Afternoon,55,Female,None,9,0
Kolkata,34,193206,14.88,3,Afternoon,27,Female,Rod,22,0
Kolkata,5,16083,5.68,9,Evening,50,Male,Gun,67,1
Kolkata,45,153670,6.1,10,Evening,54,Male,Knife,50,0
Chennai,27,92476,2.51,3,Evening,61,Female,None,11,0
Jaipur,23,102416,6.75,10,Night,54,Female,Gun,33,0
Bangalore,40,12580,11.35,8,Night,47,Male,Rod,61,1
Jaipur,14,132834,8.73,1,Afternoon,54,Male,Rod,51,0
Delhi,15,122148,17.51,4,Morning,29,Female,Knife,13,0
Jaipur,43,198467,2.9,4,Morning,59,Male,Knife,63,0
Chennai,33,52321,11.46,6,Morning,16,Male,None,75,1
Delhi,31,19386,15.73,2,Morning,42,Female,None,75,1
Jaipur,35,63171,9.69,7,Morning,52,Male,Rod,47,0
Chennai,17,160594,2.05,5,Evening,58,Female,Rod,63,0
Bangalore,28,155707,5.88,10,Afternoon,16,Male,Gun,10,0
Jaipur,19,141743,7.18,6,Morning,60,Female,Gun,57,1
Chennai,46,43545,17.46,11,Morning,44,Male,Gun,68,1
Kolkata,23,195151,16.59,6,Morning,39,Male,Knife,8,0
Patna,32,36855,17.19,11,Evening,32,Female,Knife,5,0
Kolkata,40,45790,15.21,6,Morning,50,Male,Gun,74,1
Patna,13,61012,7.63,10,Afternoon,46,Male,Rod,35,0
Mumbai,20,127827,16.49,8,Evening,57,Female,None,69,1
Mumbai,35,24260,17.71,10,Evening,47,Male,Knife,73,1
Mumbai,5,11074,7.6,4,Night,34,Male,Knife,23,0
Bangalore,9,183748,6.17,10,Night,46,Female,Gun,73,1
Kolkata,29,150547,10.75,8,Evening,54,Female,None,73,1
Patna,6,156192,4.99,9,Morning,35,Female,Knife,53,0
Chennai,25,164219,2.52,4,Morning,43,Female,None,35,0
Delhi,31,11986,17.13,1,Morning,18,Female,Knife,64,1
Chennai,22,173502,16.81,3,Morning,47,Female,None,75,1
Delhi,2,65479,4.6,1,Night,37,Female,None,83,1
Lucknow,45,140833,8.52,7,Afternoon,59,Female,Knife,59,0
Chennai,5,12176,15.3,1,Evening,69,Male,None,81,1
Jaipur,27,94258,12.58,11,Morning,57,Male,Rod,80,1
Jaipur,25,125188,8.32,4,Night,68,Female,Knife,87,1
Hyderabad,8,94153,13.91,1,Afternoon,59,Male,Knife,81,1
Kolkata,1,168187,16.35,2,Evening,30,Female,Rod,42,1
Delhi,20,87442,16.82,11,Evening,53,Male,None,37,0
Delhi,44,50002,8.06,1,Evening,34,Male,Rod,10,0
Kolkata,23,67124,4.78,5,Morning,46,Female,Knife,17,0
Bangalore,32,147682,16.61,7,Evening,41,Male,Rod,81,1
Hyderabad,11,59752,3.48,3,Morning,20,Male,None,81,0
Bangalore,39,88947,13.55,8,Afternoon,35,Male,Rod,24,0
Bangalore,47,128972,4.25,5,Night,17,Female,Knife,41,0
Bangalore,24,84716,8.23,5,Night,36,Male,None,49,0
Kolkata,11,189065,8.58,5,Night,66,Male,Knife,77,1
Bangalore,29,20073,4.54,8,Evening,66,Female,Knife,85,1
Jaipur,26,47251,16.76,2,Night,51,Male,Gun,63,1
Mumbai,16,106496,2.04,2,Afternoon,43,Male,Knife,56,0
Lucknow,35,48897,16.3,8,Morning,35,Male,Knife,22,0
Delhi,20,191978,16.14,9,Night,52,Male,None,29,0
Delhi,46,61616,7.07,11,Morning,54,Female,None,83,0
Lucknow,3,14482,13.27,10,Morning,51,Female,None,91,1
Kolkata,1,117990,6.04,10,Night,26,Female,Rod,5,0
Chennai,47,180646,14.14,2,Night,18,Male,Rod,45,1
Kolkata,1,53284,10.98,4,Night,52,Female,None,22,0
Delhi,17,82932,6.8,8,Evening,35,Male,Rod,5,0
Delhi,2,17338,8.4,2,Night,47,Male,Gun,43,1
Lucknow,29,183790,13.04,4,Evening,62,Female,Rod,78,1
Bangalore,20,153572,16.5,10,Afternoon,40,Female,Gun,35,1
Kolkata,6,152617,4.09,1,Morning,36,Female,None,75,0
Patna,8,71480,11.14,2,Afternoon,65,Male,None,42,0
Lucknow,29,146313,6.06,7,Night,31,Male,Rod,12,0
Jaipur,48,163893,14.82,1,Morning,63,Male,None,38,0
Delhi,33,14695,3.12,1,Night,57,Male,None,77,1
Lucknow,3,24318,13.02,2,Night,16,Female,Knife,93,1
Kolkata,35,60934,4.8,4,Morning,38,Female,None,31,0
Delhi,5,163403,11.54,7,Afternoon,58,Male,Knife,45,0
Chennai,27,131282,15.37,4,Night,64,Male,None,11,0
Lucknow,44,193744,14.08,5,Morning,39,Female,Gun,36,1
Hyderabad,12,101891,14.05,4,Afternoon,62,Female,Gun,77,1
Delhi,20,78754,10.29,4,Evening,40,Male,None,85,1
Kolkata,45,95677,16.25,9,Afternoon,22,Female,Gun,20,0
Mumbai,20,112320,11.41,6,Afternoon,53,Male,Gun,6,0
Patna,9,143909,16.68,3,Morning,62,Male,Gun,47,1
Bhopal,39,135261,10.74,6,Afternoon,62,Male,Rod,35,0
Bangalore,4,115338,10.1,7,Evening,54,Male,Gun,84,1
Bhopal,19,50077,5.56,7,Evening,50,Female,Knife,51,0
Kolkata,38,89915,10.72,8,Night,29,Female,Rod,37,0
Jaipur,27,145311,4.25,4,Evening,24,Male,Knife,89,1
Jaipur,45,39669,15.92,1,Night,18,Male,Knife,21,1
Mumbai,43,58624,12.81,6,Evening,53,Male,Knife,58,1
Bangalore,13,85147,17.9,8,Afternoon,35,Male,Rod,58,1
Hyderabad,13,145222,3.47,5,Night,56,Male,None,55,0
Mumbai,22,152181,5.85,3,Evening,48,Female,Gun,56,1
Bhopal,28,167088,16.03,4,Afternoon,56,Male,Gun,11,0
Mumbai,47,153008,8.32,8,Afternoon,59,Female,None,58,0
Bhopal,45,152108,9.46,6,Night,47,Male,None,15,0
Delhi,22,180308,15.77,5,Morning,51,Male,Knife,66,1
Jaipur,43,155093,10.35,9,Afternoon,41,Male,Rod,34,0
Delhi,19,46943,5.1,10,Afternoon,63,Male,Knife,86,1
Patna,8,123694,16.27,3,Morning,20,Female,Gun,61,1
Bangalore,8,191088,2.5,7,Night,64,Female,None,50,0
Hyderabad,42,164316,16.33,9,Evening,45,Female,Gun,84,1
Bhopal,26,133351,2.81,11,Evening,32,Male,None,74,0
Hyderabad,48,48985,12.65,11,Afternoon,21,Female,Rod,70,1
Bhopal,26,142574,3.15,4,Morning,30,Male,Knife,59,0
Kolkata,23,63836,13.3,10,Afternoon,16,Male,Gun,62,1
Mumbai,43,109714,2.54,10,Night,28,Female,Rod,14,0
Patna,13,13770,15.48,3,Afternoon,63,Male,Gun,8,0
Jaipur,28,52865,9.46,1,Evening,49,Male,None,78,1
Bhopal,9,63811,3.5,9,Morning,45,Female,Gun,77,1
Hyderabad,20,14001,13.31,1,Night,34,Female,Rod,66,1
Patna,19,70848,9.83,2,Afternoon,17,Male,Rod,47,0
Chennai,48,62635,5.06,9,Evening,68,Female,Knife,46,0
Chennai,39,30946,2.25,5,Afternoon,59,Female,Gun,28,0
Delhi,12,105852,8.69,4,Evening,27,Female,None,9,0
Jaipur,15,101103,3.37,9,Morning,55,Male,Gun,72,1
Kolkata,31,53744,3.51,9,Night,59,Male,Knife,81,1
Hyderabad,14,127729,6.28,2,Afternoon,39,Female,None,49,0
Mumbai,11,180231,12.09,3,Night,26,Male,None,63,1
Mumbai,26,33671,10.48,3,Morning,17,Male,Knife,69,1
Hyderabad,42,157522,3.1,5,Evening,16,Female,None,67,0
Bangalore,27,155980,17.49,3,Morning,43,Female,Rod,79,1
Kolkata,11,198347,16.19,10,Morning,19,Female,Rod,94,1
Patna,38,185430,6.15,6,Night,56,Male,None,71,0
Bhopal,34,190119,3.96,2,Morning,45,Male,Gun,53,1
Bangalore,43,176590,17.08,6,Afternoon,22,Male,None,81,1
Bhopal,19,67813,9.38,6,Evening,37,Male,Gun,36,1
Bhopal,6,106748,6.98,2,Morning,41,Female,Knife,54,0
Bangalore,46,147878,9.85,6,Afternoon,44,Female,Rod,91,1
Delhi,38,114733,14.36,6,Evening,40,Female,Rod,62,1
Chennai,49,181963,4.69,6,Night,25,Female,Knife,56,0
Bhopal,42,136865,14.28,5,Evening,35,Female,Knife,27,0
Bangalore,28,93551,13.99,7,Night,29,Male,Rod,34,0
Bangalore,1,139335,10.63,5,Evening,48,Female,Knife,74,1
Lucknow,35,49220,15.85,11,Morning,20,Male,None,75,1
Delhi,40,27158,4.11,1,Night,60,Male,None,34,0
Jaipur,8,90992,11.53,9,Night,21,Female,Gun,41,1
Lucknow,47,168660,9.19,3,Night,37,Male,Gun,52,1
Lucknow,7,72576,8.76,2,Morning,32,Male,Gun,36,1
Hyderabad,11,98027,6.04,10,Morning,30,Female,None,74,0
Chennai,39,165260,7.96,6,Evening,54,Male,Rod,39,0
Bangalore,4,68830,3.73,8,Evening,55,Female,Gun,80,1
Chennai,25,145091,6.03,2,Morning,43,Female,None,72,0
Kolkata,12,22419,6.35,4,Morning,68,Male,Rod,36,0
Hyderabad,26,43697,13.53,2,Night,17,Male,Knife,63,1
Jaipur,38,94932,2.78,9,Evening,33,Female,None,39,0
Chennai,46,129712,12.42,10,Evening,42,Male,Knife,20,0
Mumbai,12,105428,5.54,2,Night,36,Female,Gun,83,1
Bhopal,43,149045,3.31,10,Night,38,Female,Rod,56,0
Kolkata,37,96649,6.81,2,Night,22,Female,None,70,1
Delhi,46,132649,5.59,5,Afternoon,67,Female,Gun,10,0
Jaipur,24,21136,10.83,5,Afternoon,63,Female,Gun,18,0
Kolkata,16,94739,7.72,7,Morning,34,Female,Rod,33,0
Bhopal,13,72502,17.46,1,Evening,24,Male,Knife,30,1
Hyderabad,25,172357,17.42,2,Night,27,Female,Gun,22,1
Bhopal,4,33039,9.1,11,Night,61,Male,Rod,8,0
Lucknow,11,76720,14.72,11,Evening,45,Male,Rod,61,1
Bhopal,32,133168,2.21,6,Afternoon,22,Male,None,57,0
Lucknow,49,98263,10.76,2,Evening,17,Female,Gun,29,1
Hyderabad,7,69155,13.89,4,Morning,32,Female,Knife,51,1
Patna,46,26911,5.47,10,Afternoon,26,Male,Knife,56,0
Lucknow,11,10916,2.98,6,Evening,65,Female,Gun,38,0
Delhi,28,69052,4.49,7,Evening,27,Male,Knife,20,0
Bhopal,41,27790,9.07,10,Morning,18,Female,Rod,91,1
Bhopal,23,146278,10.1,5,Evening,36,Female,Rod,40,0
Delhi,45,131937,8.09,8,Afternoon,29,Female,Gun,32,0
Mumbai,23,95053,9.04,6,Night,30,Male,Knife,69,1
Bangalore,28,59950,9.52,5,Night,66,Male,Rod,76,1
Patna,43,126211,14.31,4,Night,57,Male,Gun,57,1
Jaipur,47,66361,3.68,6,Afternoon,56,Female,Rod,46,0
Lucknow,26,71451,14.3,6,Evening,25,Female,Gun,83,1
Delhi,25,47696,13.02,6,Evening,67,Male,None,23,0
Hyderabad,29,112395,13.87,1,Evening,51,Male,None,48,1
Lucknow,19,134121,13.75,6,Evening,66,Male,Gun,34,1
Bangalore,33,56728,9.53,1,Night,25,Female,None,78,1
Hyderabad,36,65401,5.38,5,Afternoon,32,Male,None,48,0
Kolkata,14,35103,10.59,7,Morning,59,Female,Knife,31,0
Bhopal,14,175335,17.33,1,Afternoon,40,Female,None,88,1
Kolkata,35,60044,11.42,1,Evening,42,Male,Knife,93,1
Lucknow,30,67730,2.18,6,Evening,48,Female,None,77,0
Bangalore,28,35825,2.96,7,Afternoon,26,Female,None,38,0
Patna,17,47271,17.89,6,Afternoon,28,Female,Rod,89,1
Lucknow,3,87256,3.15,5,Night,16,Female,Gun,28,0
Delhi,16,187804,2.74,6,Evening,46,Male,None,60,0
Chennai,46,76433,7.65,3,Afternoon,48,Female,Gun,11,0
