City,Age,Monthly_Income,Education_Level,Employment_Type,Digital_Usage_Hours,Household_Size,Area_Type,Govt_Scheme_Usage,Citizen_Segment
Hyderabad,59,145548,Secondary,Private,5.26,2,Semi-Urban,4,1
Pune,64,87806,Secondary,Self-Employed,6.25,6,Semi-Urban,2,1
Bangalore,54,60006,Graduate,Private,6.35,1,Urban,3,1
Lucknow,33,92238,Postgraduate,Self-Employed,2.12,2,Semi-Urban,3,0
Kolkata,62,50798,Secondary,Unemployed,7.02,4,Semi-Urban,0,0
Jaipur,39,82271,Secondary,Self-Employed,4.8,2,Semi-Urban,1,0
Pune,37,35177,Secondary,Self-Employed,5.42,3,Rural,1,0
Chennai,67,133022,Graduate,Government,0.79,6,Semi-Urban,4,0
Delhi,60,135156,Graduate,Government,7.76,1,Semi-Urban,1,1
Bangalore,44,87215,Graduate,Private,8.44,6,Urban,3,1
Ahmedabad,58,48013,Primary,Private,6.38,4,Urban,0,0
Jaipur,33,87600,Graduate,Private,7.61,3,Rural,3,1
Kolkata,51,101099,Secondary,Self-Employed,5.47,2,Urban,2,1
Jaipur,49,58450,Graduate,Self-Employed,6.37,7,Urban,4,1
Pune,43,127640,Graduate,Private,4.25,2,Urban,4,1
Hyderabad,42,97403,Postgraduate,Unemployed,8.02,3,Rural,1,1
Delhi,19,104290,Secondary,Unemployed,4.95,7,Rural,2,0
Delhi,29,136832,Graduate,Self-Employed,6.96,2,Semi-Urban,1,1
Ahmedabad,57,29142,Primary,Unemployed,6.4,1,Semi-Urban,1,0
Hyderabad,26,115189,Postgraduate,Unemployed,7.17,5,Urban,1,1
Lucknow,29,112532,Graduate,Private,7.96,2,Semi-Urban,2,1
Mumbai,43,136436,Postgraduate,Unemployed,5.37,4,Semi-Urban,1,1
Bangalore,26,61921,Postgraduate,Unemployed,8.22,2,Rural,4,0
Delhi,27,24797,Primary,Self-Employed,5.22,6,Rural,1,0
Chennai,49,37535,Primary,Self-Employed,9.59,4,Semi-Urban,2,0
Delhi,51,51300,Primary,Self-Employed,7.65,2,Semi-Urban,2,0
Jaipur,65,52176,Secondary,Unemployed,2.13,2,Semi-Urban,3,0
Delhi,37,21105,Postgraduate,Private,8.38,4,Urban,1,1
Delhi,56,144011,Graduate,Government,5.74,1,Rural,2,1
Mumbai,19,84472,Primary,Self-Employed,9.85,7,Semi-Urban,1,1
Mumbai,18,83097,Primary,Self-Employed,7.33,7,Semi-Urban,0,1
Kolkata,68,146519,Postgraduate,Self-Employed,1.3,5,Urban,4,1
Lucknow,53,101160,Postgraduate,Private,4.25,5,Rural,4,1
Chennai,41,51940,Postgraduate,Government,5.41,7,Urban,1,1
Delhi,44,90001,Graduate,Government,8.47,1,Urban,4,1
Delhi,19,12928,Secondary,Self-Employed,7.43,2,Semi-Urban,4,0
Bangalore,48,53002,Secondary,Unemployed,4.01,5,Urban,0,0
Mumbai,31,89853,Primary,Self-Employed,6.71,1,Urban,4,0
Chennai,19,119614,Secondary,Self-Employed,5.98,1,Semi-Urban,4,1
Ahmedabad,46,122517,Graduate,Unemployed,1.7,5,Rural,2,0
Kolkata,32,84064,Secondary,Unemployed,2.73,7,Semi-Urban,4,0
Lucknow,29,124694,Graduate,Self-Employed,3.74,4,Rural,1,1
Hyderabad,54,149385,Primary,Private,2.36,3,Urban,4,0
Lucknow,45,137631,Postgraduate,Private,1.93,7,Urban,1,1
Jaipur,37,55893,Graduate,Unemployed,1.05,4,Semi-Urban,4,0
Delhi,56,20167,Postgraduate,Self-Employed,8.79,7,Semi-Urban,1,1
Kolkata,41,43598,Primary,Private,3.24,2,Semi-Urban,4,0
Jaipur,38,143595,Graduate,Self-Employed,3.26,4,Urban,1,1
Chennai,27,54777,Graduate,Self-Employed,2.46,6,Urban,4,0
Hyderabad,63,121378,Secondary,Self-Employed,5.02,3,Rural,0,1
Mumbai,31,86060,Graduate,Private,5.39,7,Semi-Urban,2,1
Kolkata,54,18285,Primary,Government,2.48,3,Urban,2,0
Kolkata,35,147045,Postgraduate,Self-Employed,6.28,1,Rural,2,1
Delhi,41,127970,Graduate,Private,7.37,6,Semi-Urban,2,1
Pune,31,27694,Primary,Government,4.05,2,Semi-Urban,0,0
Kolkata,51,140374,Primary,Unemployed,6.06,1,Rural,0,0
Bangalore,29,9611,Graduate,Private,5.27,4,Rural,4,0
Hyderabad,39,14372,Secondary,Government,2.36,4,Rural,0,0
Hyderabad,23,85618,Graduate,Private,7.44,5,Urban,2,1
Bangalore,53,117945,Graduate,Government,8.11,1,Semi-Urban,3,1
Ahmedabad,62,113397,Secondary,Government,6.66,6,Semi-Urban,4,1
Bangalore,53,101213,Primary,Private,3.58,1,Rural,1,0
Bangalore,39,25874,Graduate,Unemployed,9.3,1,Urban,2,1
Hyderabad,31,137669,Secondary,Self-Employed,4.83,1,Rural,2,0
Lucknow,33,16600,Postgraduate,Government,3.03,3,Urban,2,1
Hyderabad,53,139819,Postgraduate,Self-Employed,4.38,5,Semi-Urban,0,1
Pune,42,84415,Secondary,Unemployed,7.07,7,Semi-Urban,1,0
Delhi,49,99348,Primary,Self-Employed,8.54,2,Urban,4,1
Jaipur,50,110736,Secondary,Self-Employed,3.89,2,Semi-Urban,2,0
Lucknow,62,29714,Primary,Private,2.71,2,Semi-Urban,1,0
Mumbai,53,140797,Postgraduate,Private,6.45,3,Rural,3,1
Jaipur,37,116573,Graduate,Unemployed,9.25,5,Urban,0,1
Delhi,35,18092,Secondary,Private,2.24,6,Semi-Urban,2,0
Pune,55,100918,Postgraduate,Government,8.13,5,Semi-Urban,1,1
Pune,20,30457,Graduate,Unemployed,5.03,3,Urban,1,0
Mumbai,40,76667,Postgraduate,Private,8.1,6,Semi-Urban,2,1
Lucknow,49,95751,Secondary,Private,5.3,1,Urban,1,1
Ahmedabad,62,67894,Secondary,Unemployed,4.08,4,Urban,1,0
Bangalore,33,66305,Graduate,Government,7.12,1,Rural,4,1
Lucknow,22,148684,Secondary,Unemployed,9.06,2,Urban,0,1
Ahmedabad,21,57137,Postgraduate,Private,3.54,1,Rural,4,0
Pune,38,5559,Graduate,Private,4.88,3,Semi-Urban,0,0
Hyderabad,57,71249,Graduate,Unemployed,2.68,2,Urban,0,0
Delhi,68,42361,Postgraduate,Government,2.24,4,Rural,4,0
Mumbai,31,85720,Primary,Government,7.89,6,Urban,2,1
Delhi,56,20261,Graduate,Self-Employed,2.41,6,Semi-Urban,1,0
Chennai,48,25372,Primary,Government,8.04,2,Rural,3,0
Chennai,31,60355,Postgraduate,Unemployed,4.58,7,Rural,4,0
Lucknow,23,103560,Postgraduate,Government,9.95,7,Rural,4,1
Pune,29,5037,Graduate,Government,2.37,1,Semi-Urban,2,0
Pune,33,46420,Secondary,Self-Employed,1.38,7,Rural,1,0
Bangalore,34,102243,Graduate,Government,1.22,5,Semi-Urban,4,0
Bangalore,62,134380,Secondary,Self-Employed,8.44,5,Semi-Urban,3,1
Bangalore,40,39600,Primary,Self-Employed,4.66,6,Urban,1,0
Hyderabad,31,94520,Secondary,Government,0.53,5,Semi-Urban,4,0
Jaipur,24,10167,Graduate,Private,8.81,2,Rural,4,0
Kolkata,63,5432,Secondary,Unemployed,8.83,5,Rural,0,0
Jaipur,49,74687,Postgraduate,Unemployed,8.16,3,Semi-Urban,0,1
Delhi,32,76947,Primary,Government,2.86,6,Semi-Urban,4,0
Jaipur,61,101324,Postgraduate,Unemployed,4.04,4,Urban,2,1
Hyderabad,34,55903,Postgraduate,Unemployed,7.58,5,Urban,0,1
Delhi,58,70792,Postgraduate,Self-Employed,5.15,3,Rural,4,1
Jaipur,64,38439,Postgraduate,Private,1.96,3,Semi-Urban,1,0
Hyderabad,61,56248,Secondary,Unemployed,2.81,2,Rural,3,0
Kolkata,51,39743,Postgraduate,Private,9.74,6,Semi-Urban,0,1
Jaipur,22,84803,Secondary,Unemployed,1.93,2,Rural,4,0
Hyderabad,62,80117,Postgraduate,Private,7.4,4,Rural,0,1
Bangalore,44,27076,Graduate,Private,5.04,4,Rural,1,0
Pune,69,92483,Postgraduate,Unemployed,7.61,1,Semi-Urban,2,1
Bangalore,40,139035,Graduate,Self-Employed,6.78,4,Urban,4,1
Pune,57,124217,Secondary,Private,4.67,6,Urban,1,1
Mumbai,31,149938,Primary,Private,3.86,7,Semi-Urban,3,0
Mumbai,32,109504,Secondary,Unemployed,7.67,7,Urban,4,0
Mumbai,60,110649,Primary,Private,3.57,6,Rural,3,0
Kolkata,50,131244,Primary,Private,7.98,2,Semi-Urban,2,1
Bangalore,48,37813,Postgraduate,Self-Employed,6.96,3,Semi-Urban,4,1
Pune,52,71729,Primary,Private,5.99,1,Urban,4,0
Hyderabad,34,9512,Secondary,Self-Employed,4.0,7,Urban,1,0
Delhi,45,122907,Postgraduate,Private,2.45,7,Rural,0,1
Hyderabad,36,136708,Primary,Private,7.25,4,Semi-Urban,4,1
Delhi,63,139847,Secondary,Self-Employed,1.37,3,Urban,2,0
Chennai,40,69591,Primary,Self-Employed,9.72,2,Semi-Urban,4,1
Hyderabad,49,16351,Primary,Government,9.8,5,Rural,4,0
Jaipur,57,120400,Postgraduate,Private,1.74,1,Rural,4,0
Jaipur,30,125533,Postgraduate,Self-Employed,1.49,6,Rural,4,0
Lucknow,37,108627,Secondary,Private,4.42,3,Semi-Urban,2,0
Bangalore,52,133381,Postgraduate,Private,9.65,2,Semi-Urban,1,1
Delhi,22,100707,Postgraduate,Private,4.3,2,Semi-Urban,0,1
Delhi,26,86678,Graduate,Unemployed,3.96,1,Semi-Urban,2,0
Bangalore,46,78309,Graduate,Government,7.18,1,Semi-Urban,2,1
Kolkata,23,15778,Secondary,Unemployed,2.2,4,Rural,3,0
Lucknow,42,148573,Postgraduate,Government,3.95,4,Rural,0,1
Kolkata,48,117713,Secondary,Private,3.27,6,Rural,1,0
Kolkata,39,138180,Graduate,Private,6.21,6,Urban,1,1
Kolkata,19,41382,Graduate,Self-Employed,2.05,1,Rural,3,0
Bangalore,62,80787,Graduate,Government,5.71,1,Semi-Urban,3,1
Kolkata,22,28341,Secondary,Government,8.65,3,Rural,2,1
Jaipur,44,124967,Postgraduate,Unemployed,5.38,4,Urban,1,1
Mumbai,42,136066,Primary,Government,6.99,2,Urban,1,1
Chennai,25,148074,Postgraduate,Private,1.21,7,Urban,1,1
Delhi,18,90820,Secondary,Self-Employed,4.77,7,Urban,2,1
Delhi,37,64949,Graduate,Unemployed,1.4,7,Urban,1,0
Chennai,61,67543,Primary,Self-Employed,6.19,4,Semi-Urban,4,0
Bangalore,40,32610,Secondary,Government,3.17,4,Rural,3,0
Hyderabad,49,70226,Graduate,Government,3.23,1,Semi-Urban,3,0
Bangalore,28,50167,Secondary,Unemployed,1.23,7,Semi-Urban,3,0
Delhi,56,72381,Primary,Government,3.45,1,Urban,3,0
Delhi,64,51710,Graduate,Self-Employed,5.31,4,Rural,4,0
Chennai,41,21766,Postgraduate,Private,6.05,5,Rural,0,1
Kolkata,28,107416,Secondary,Unemployed,1.13,5,Rural,1,0
Bangalore,46,17780,Primary,Government,6.69,6,Urban,3,0
Pune,43,53458,Postgraduate,Self-Employed,5.14,4,Semi-Urban,1,1
Chennai,33,61221,Primary,Private,5.6,7,Rural,1,0
Jaipur,52,6509,Secondary,Government,8.41,5,Semi-Urban,4,0
Delhi,37,94493,Primary,Unemployed,3.75,6,Rural,1,0
Chennai,63,121850,Graduate,Government,2.15,6,Rural,3,0
Bangalore,20,36533,Primary,Government,5.74,4,Rural,1,0
Delhi,18,113144,Secondary,Government,9.48,6,Rural,4,1
Hyderabad,64,127402,Graduate,Private,5.42,1,Urban,3,1
Chennai,18,83467,Primary,Private,8.4,1,Urban,4,1
Lucknow,34,6359,Primary,Government,7.69,1,Semi-Urban,2,0
Delhi,19,124119,Graduate,Government,5.42,2,Urban,0,1
Bangalore,46,25344,Postgraduate,Unemployed,6.65,1,Rural,1,0
Mumbai,37,123499,Postgraduate,Government,4.36,7,Semi-Urban,1,1
Pune,23,74778,Graduate,Self-Employed,5.54,1,Semi-Urban,1,1
Ahmedabad,25,25601,Primary,Self-Employed,5.32,4,Semi-Urban,2,0
Kolkata,46,106013,Postgraduate,Unemployed,7.24,5,Rural,0,1
Ahmedabad,65,35782,Graduate,Private,4.39,7,Rural,4,0
Bangalore,68,116095,Secondary,Government,1.45,5,Semi-Urban,2,0
Jaipur,50,102123,Primary,Unemployed,7.99,1,Urban,2,0
Jaipur,20,49458,Secondary,Private,7.01,1,Rural,3,0
Mumbai,52,129225,Primary,Unemployed,9.53,1,Rural,2,0
Kolkata,22,144152,Postgraduate,Private,4.57,6,Urban,2,1
Lucknow,44,149980,Secondary,Government,1.24,4,Semi-Urban,1,0
Mumbai,61,101188,Secondary,Unemployed,1.66,4,Urban,3,0
Ahmedabad,29,126292,Graduate,Government,7.85,4,Rural,4,1
Mumbai,37,95570,Postgraduate,Unemployed,1.14,5,Semi-Urban,0,0
Ahmedabad,62,128791,Postgraduate,Private,9.12,7,Semi-Urban,4,1
Delhi,37,130291,Primary,Unemployed,3.18,7,Urban,3,0
Jaipur,26,103375,Graduate,Self-Employed,9.04,2,Rural,1,1
Delhi,56,43314,Graduate,Self-Employed,7.85,5,Rural,0,1
Pune,21,113880,Primary,Unemployed,8.78,4,Semi-Urban,4,0
Kolkata,68,105326,Secondary,Self-Employed,2.53,3,Rural,0,0
Lucknow,36,126026,Primary,Government,6.16,2,Semi-Urban,0,1
Ahmedabad,55,67451,Primary,Self-Employed,1.39,1,Semi-Urban,0,0
Lucknow,44,50708,Primary,Self-Employed,2.42,6,Semi-Urban,2,0
Ahmedabad,62,22682,Graduate,Government,3.44,5,Rural,3,0
Bangalore,60,107406,Primary,Government,7.54,6,Urban,3,1
Mumbai,30,64372,Primary,Private,0.73,2,Semi-Urban,1,0
Pune,30,44477,Primary,Government,9.08,7,Urban,4,1
Jaipur,39,138692,Postgraduate,Unemployed,1.17,3,Urban,1,0
Ahmedabad,45,58024,Secondary,Self-Employed,4.08,2,Urban,4,0
Lucknow,69,145749,Secondary,Private,1.27,5,Urban,0,0
Pune,64,22824,Secondary,Government,7.81,4,Urban,4,1
Hyderabad,62,136837,Secondary,Self-Employed,1.84,1,Semi-Urban,4,0
Hyderabad,39,102151,Graduate,Unemployed,8.91,4,Rural,0,1
Delhi,60,53926,Graduate,Unemployed,5.54,4,Urban,1,0
Jaipur,36,17975,Primary,Private,9.51,5,Rural,4,0
Bangalore,25,79877,Graduate,Unemployed,3.26,4,Rural,1,0
Lucknow,69,82870,Secondary,Self-Employed,4.82,4,Semi-Urban,1,0
Mumbai,25,86371,Postgraduate,Government,7.1,5,Urban,3,1
Mumbai,59,105970,Primary,Unemployed,8.4,5,Rural,0,0
Lucknow,43,103066,Primary,Government,4.5,3,Rural,0,0
Kolkata,65,66562,Secondary,Self-Employed,8.98,4,Urban,2,1
Bangalore,68,45409,Secondary,Self-Employed,1.62,2,Semi-Urban,1,0
Pune,43,14834,Secondary,Government,7.23,7,Semi-Urban,2,1
Ahmedabad,40,107192,Graduate,Self-Employed,3.81,1,Urban,0,1
Kolkata,60,5840,Primary,Private,1.46,6,Rural,0,0
Ahmedabad,30,36568,Secondary,Unemployed,4.17,1,Semi-Urban,2,0
Ahmedabad,45,15846,Postgraduate,Private,8.86,5,Semi-Urban,0,1
Kolkata,26,141971,Primary,Private,9.82,6,Rural,0,1
Delhi,37,91038,Primary,Private,4.23,5,Rural,3,0
Hyderabad,36,134789,Graduate,Government,8.92,7,Rural,4,1
Ahmedabad,65,112460,Primary,Government,5.34,7,Rural,3,0
Kolkata,56,79723,Secondary,Self-Employed,7.31,3,Urban,4,1
Kolkata,68,109194,Secondary,Government,0.93,4,Rural,3,0
Chennai,29,116417,Postgraduate,Self-Employed,5.79,5,Semi-Urban,3,1
Delhi,32,140383,Primary,Government,1.17,7,Rural,1,0
Jaipur,48,61888,Primary,Self-Employed,3.05,5,Rural,2,0
Chennai,31,46616,Graduate,Unemployed,5.88,1,Urban,3,0
Chennai,28,11083,Secondary,Self-Employed,8.17,4,Urban,1,1
Lucknow,43,148670,Postgraduate,Unemployed,5.83,3,Rural,3,1
Hyderabad,59,87476,Secondary,Self-Employed,9.39,7,Urban,2,1
Kolkata,44,97416,Primary,Government,8.2,5,Urban,1,1
Hyderabad,28,7580,Primary,Government,1.98,5,Urban,4,0
Bangalore,55,127834,Postgraduate,Unemployed,4.2,5,Urban,2,1
Lucknow,51,117148,Primary,Private,6.85,1,Rural,0,1
Jaipur,60,47321,Postgraduate,Private,9.41,7,Urban,1,1
Hyderabad,36,14386,Postgraduate,Self-Employed,9.88,5,Urban,0,1
Mumbai,23,58171,Secondary,Government,7.75,5,Semi-Urban,1,1
Ahmedabad,63,136743,Postgraduate,Private,5.95,1,Rural,4,1
Bangalore,69,38545,Primary,Government,7.69,5,Urban,1,1
Delhi,55,31855,Graduate,Government,3.1,4,Semi-Urban,3,0
Jaipur,66,40790,Graduate,Government,3.19,4,Urban,0,1
Bangalore,59,56012,Primary,Self-Employed,6.72,1,Rural,0,0
